id,title,description,age_certification,runtime,hit,imdb_id,imdb_votes,tmdb_popularity,tmdb_score,top_three,release_decade
tm139532,Before I Wake,"In this intense and heart pounding supernatural thriller, Jessie (Kate Bosworth) and Mark (Thomas Jane) decide to take in a sweet and loving 8-year-old boy, Cody. Unbeknownst to them, Cody is terrified of falling asleep. At first, they assume his previous unstable homes caused his aversion to sleep, but soon discover why: Cody's dreams manifest in reality as he sleeps. In one moment they experience the incredible wonder of Cody's imagination, and in the next, the horrific nature of his night terrors. To save their new family, Jessie and Mark embark on a dangerous hunt to uncover the truth behind Cody's nightmares.",PG-13,97,0,tt3174376,46334,99.185,6.4,1,2010s
tm88465,Insidious,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",PG-13,103,0,tt1591095,303820,99.129,6.929,0,2010s
tm993670,Cosmic Sin,"In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late.",R,88,0,tt11762434,12517,98.432,4.2,1,2020s
tm93055,Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",PG-13,102,0,tt1375670,249934,98.37,6.333,1,2010s
tm925486,Jiu Jitsu,"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",R,102,0,tt9624766,8693,96.709,5,1,2020s
tm1092958,No One Gets Out Alive,An immigrant in search of the American dream is forced to take a room in a boarding house and soon finds herself in a nightmare from which she can't escape.,R,85,0,tt13056008,15031,96.132,6,1,2020s
tm244208,It,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",R,135,1,tt1396484,527626,95.827,7.234,0,2010s
tm921206,The Kissing Booth 3,"Itâ€™s the summer before Elle heads to college, and she has a secret decision to make. Elle has been accepted into Harvard, where boyfriend Noah is matriculating, and also Berkeley, where her BFF Lee is headed and has to decide if she should stay or not.",PG-13,112,0,tt12783454,16307,93.277,7.1,1,2020s
tm161282,Penguins of Madagascar,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",PG,92,0,tt1911658,89930,92.315,6.505,1,2010s
tm39888,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",PG-13,165,1,tt1345836,1669067,91.76,7.768,1,2010s
tm1120543,The Bubble,A group of actors and actresses stuck inside a pandemic bubble at a hotel attempts to complete a film.,R,126,0,tt13610562,22479,91.061,4.8,1,2020s
tm120108,Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",PG,95,1,tt2267968,155678,91.033,6.851,1,2010s
tm1185374,The Mystery of Marilyn Monroe: The Unheard Tapes,This documentary explores the mystery surrounding the death of movie icon Marilyn Monroe through previously unheard interviews with her inner circle.,R,101,0,tt19034332,3978,89.61,6.3,0,2020s
tm1038344,Awake,"After a sudden global event wipes out all electronics and takes away humankindâ€™s ability to sleep, chaos quickly begins to consume the world. Only Jill, an ex-soldier with a troubled past, may hold the key to a cure in the form of her own daughter. The question is, can Jill safely deliver her daughter and save the world before she herself loses her mind.",R,96,0,tt10418662,21498,89.154,6,1,2020s
tm1064228,Fatherhood,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story.",PG-13,109,0,tt4733624,34661,88.619,7.6,1,2020s
tm414584,Rambo: Last Blood,"After fighting his demons for decades, John Rambo now lives in peace on his family ranch in Arizona, but his rest is interrupted when Gabriela, the granddaughter of his housekeeper MarÃ­a, disappears after crossing the border into Mexico to meet her biological father. Rambo, who has become a true father figure for Gabriela over the years, undertakes a desperate and dangerous journey to find her.",R,101,0,tt1206885,96740,88.199,6.5,1,2010s
tm841825,My Little Pony: A New Generation,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals â€” and, hoof to heart, sheâ€™s determined to prove it.",PG,91,0,tt10101702,3657,88.17,8,1,2020s
tm319224,The Loud House Movie,The Loud family travel to Scotland and discover they are descendants of Scottish royalty as they move into their giant ancestral castle.,G,83,0,tt6714432,2027,88.011,7.6,1,2020s
tm1001097,Beauty,"A young singer on the brink of a promising career finds herself torn between a domineering family, industry pressures and her love for her girlfriend.",R,95,0,tt11364112,492,87.939,5.9,1,2020s
tm983270,Outside the Wire,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",R,116,0,tt10451914,42078,87.801,6.4,1,2020s
tm417416,Five Feet Apart,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control â€” all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",PG-13,116,1,tt6472976,63916,86.377,8.3,1,2010s
tm131038,Public Enemies,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",R,140,1,tt1152836,300773,85.039,6.7,1,2000s
tm196296,A Monster Calls,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.,PG-13,108,1,tt3416532,87806,84.977,7.2,1,2010s
tm922788,The Babysitter: Killer Queen,"Two years after defeating a satanic cult led by his babysitter Bee, Cole's trying to forget his past and focus on surviving high school. But when old enemies unexpectedly return, Cole will once again have to outsmart the forces of evil.",R,101,0,tt11024272,38684,83.924,6.4,1,2020s
tm410435,To All the Boys I've Loved Before,Lara Jean's love life goes from imaginary to out of control when her secret letters to every boy she's ever fallen for are mysteriously mailed out.,PG-13,100,1,tt8179390,101175,83.421,7.7,1,2010s
tm24088,Scary Movie 4,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",PG-13,83,0,tt0362120,120997,83.018,5.5,1,2000s
tm1120509,Never Back Down: Revolt,A woman who is kidnapped and forced to compete in elite underground fights and has to battle her way out to freedom.,R,89,0,tt13470094,535,81.744,6.6,1,2020s
tm137362,The Texas Chainsaw Massacre,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a chainsaw-wielding killer and his family of equally psychopathic killers.",R,98,0,tt0324216,141736,80.47,6.2,0,2000s
tm1028298,He's All That,"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.",R,91,0,tt4590256,24253,79.838,6.8,1,2020s
tm928541,Barbie: Princess Adventure,"With new friends in a new kingdom, Barbie learns what it means to be herself when she trades places with a royal lookalike in this musical adventure.",G,71,0,tt12767498,474,79.617,7.3,0,2020s
tm166978,Mission: Impossible - Ghost Protocol,"Ethan Hunt and his team are racing against time to track down a dangerous terrorist named Hendricks, who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",PG-13,132,1,tt1229238,485301,76.839,7,1,2010s
tm824477,Over the Moon,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",PG,95,0,tt7488208,22034,75.251,7.3,1,2020s
tm1092864,The Unforgivable,A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.,R,112,1,tt11233960,105353,74.153,7.5,1,2020s
tm974366,We Can Be Heroes,"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents - and the planet.",PG,97,0,tt10600398,14759,72.986,6.2,1,2020s
tm1141439,Home Team,"Two years after a Super Bowl win when NFL head coach Sean Payton is suspended, he goes back to his hometown and finds himself reconnecting with his 12-year-old son by coaching his Pop Warner football team.",PG,95,0,tt14592064,17767,72.562,6.8,1,2020s
tm111828,Catch Me If You Can,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",PG-13,141,1,tt0264464,952602,72.321,8,1,2000s
tm29737,Rambo,"When governments fail to act on behalf of captive missionaries, ex-Green Beret John James Rambo sets aside his peaceful existence along the Salween River in a war-torn region of Thailand to take action.  Although he's still haunted by violent memories of his time as a U.S. soldier during the Vietnam War, Rambo can hardly turn his back on the aid workers who so desperately need his help.",R,92,1,tt0462499,230333,72.224,6.6,1,2000s
tm171885,Kung Fu Panda 2,"Po is now living his dream as The Dragon Warrior, protecting the Valley of Peace alongside his friends and fellow kung fu masters, The Furious Five - Tigress, Crane, Mantis, Viper and Monkey. But Poâ€™s new life of awesomeness is threatened by the emergence of a formidable villain, who plans to use a secret, unstoppable weapon to conquer China and destroy kung fu. It is up to Po and The Furious Five to journey across China to face this threat and vanquish it. But how can Po stop a weapon that can stop kung fu? He must look to his past and uncover the secrets of his mysterious origins; only then will he be able to unlock the strength he needs to succeed.",PG,90,1,tt1302011,280433,69.551,6.9,1,2010s
tm70807,I Am Legend,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",PG-13,101,1,tt0480249,745093,69.139,7.192,1,2000s
tm180572,Insidious: Chapter 2,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,PG-13,106,0,tt2226417,169039,68.55,6.7,0,2010s
tm1158704,Tyler Perry's A Madea Homecoming,Madea's back - hallelujer! And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,R,105,0,tt14813966,3697,68.483,6.7,1,2020s
tm417553,6 Underground,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",R,128,0,tt8106534,172083,68.45,6.327,1,2010s
tm1038363,America: The Motion Picture,A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,R,98,0,tt6733874,6349,68.439,5.8,1,2020s
tm148671,A Walk Among the Tombstones,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,R,113,0,tt0365907,121232,67.95,6.309,1,2010s
tm441050,The Gentlemen,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that heâ€™s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",R,113,1,tt8367814,325385,67.919,7.687,1,2010s
tm239091,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",R,164,1,tt1856101,549712,67.788,7.5,1,2010s
tm313149,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,R,131,0,tt1413492,79980,67.199,6.2,1,2010s
tm41792,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",R,165,1,tt1853728,1472668,66.924,8.15,1,2010s
tm137869,Wild Card,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last playâ€¦ and it's all or nothing.",R,92,0,tt2231253,55605,66.805,5.6,1,2010s
tm148379,The Cat in the Hat,"Conrad and Sally Walden are home alone with their pet fish. It is raining outside, and there is nothing to do. Until The Cat in the Hat walks in the front door. He introduces them to their imagination, and at first it's all fun and games, until things get out of hand, and The Cat must go, go, go, before their parents get back.",PG,82,0,tt0312528,82684,66.8,5.3,1,2000s
tm150214,Freddy vs. Jason,"In an attempt to free himself from a state of forgotten limbo, evil dream-demon Freddy Krueger devises a plan to manipulate un-dead mass murderer Jason Voorhees  into slicing-and-dicing his way through the teenage population of Springwood.  But when the master of dreams loses control of his monster, a brutal fight to the death is the only way out.",R,97,0,tt0329101,118925,65.747,6,1,2000s
tm1046932,Kate,A ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.,R,106,0,tt7737528,59480,64.19,6.7,1,2020s
tm187979,Cloudy with a Chance of Meatballs 2,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",PG,95,0,tt1985966,102071,64.17,6.443,1,2010s
